1.366000	1.366000	B
1.698000	1.698000	B
2.031000	2.031000	B
2.364000	2.364000	B
2.697000	2.697000	B
3.031000	3.031000	B
3.363000	3.363000	B
3.697000	3.697000	B
4.030000	4.030000	B
4.364000	4.364000	B
4.696000	4.696000	B
5.031000	5.031000	B
5.363000	5.363000	B
5.698000	5.698000	B
6.030000	6.030000	B
6.365000	6.365000	B
6.696000	6.696000	B
7.031000	7.031000	B
7.363000	7.363000	B
7.697000	7.697000	B
8.030000	8.030000	B
8.365000	8.365000	B
8.696000	8.696000	B
9.031000	9.031000	B
9.363000	9.363000	B
9.697000	9.697000	B
10.030000	10.030000	B
10.365000	10.365000	B
10.696000	10.696000	B
11.199000	11.199000	B
11.700000	11.700000	B
12.031000	12.031000	B
12.366000	12.366000	B
12.698000	12.698000	B
13.031000	13.031000	B
13.364000	13.364000	B
13.698000	13.698000	B
14.031000	14.031000	B
14.221000	14.221000	B
14.369000	14.369000	B
14.697000	14.697000	B
15.031000	15.031000	B
15.363000	15.363000	B
15.698000	15.698000	B
16.030000	16.030000	B
16.532000	16.532000	B
17.032000	17.032000	B
17.364000	17.364000	B
17.699000	17.699000	B
18.031000	18.031000	B
18.365000	18.365000	B
18.697000	18.697000	B
19.033000	19.033000	B
19.366000	19.366000	B
19.555000	19.555000	B
19.722000	19.722000	B
20.035000	20.035000	B
20.368000	20.368000	B
20.702000	20.702000	B
21.055000	21.055000	B
21.368000	21.368000	B
21.702000	21.702000	B
22.034000	22.034000	B
22.369000	22.369000	B
22.710000	22.710000	B
22.857000	22.857000	B
23.192000	23.192000	B
23.698000	23.698000	B
23.866000	23.866000	B
24.032000	24.032000	B
24.526000	24.526000	B
25.031000	25.031000	B
25.199000	25.199000	B
25.365000	25.365000	B
25.863000	25.863000	B
26.364000	26.364000	B
26.532000	26.532000	B
26.698000	26.698000	B
27.031000	27.031000	B
27.363000	27.363000	B
27.697000	27.697000	B
28.029000	28.029000	B
28.531000	28.531000	B
29.030000	29.030000	B
29.199000	29.199000	B
29.365000	29.365000	B
29.865000	29.865000	B
30.364000	30.364000	B
30.532000	30.532000	B
30.698000	30.698000	B
31.196000	31.196000	B
31.697000	31.697000	B
31.865000	31.865000	B
32.031000	32.031000	B
32.364000	32.364000	B
32.697000	32.697000	B
33.032000	33.032000	B
33.362000	33.362000	B
33.532000	33.532000	B
34.031000	34.031000	B
34.530000	34.530000	B
34.699000	34.699000	B
34.864000	34.864000	B
35.363000	35.363000	B
35.864000	35.864000	B
36.032000	36.032000	B
36.198000	36.198000	B
36.697000	36.697000	B
37.197000	37.197000	B
37.365000	37.365000	B
37.530000	37.530000	B
38.031000	38.031000	B
38.530000	38.530000	B
38.698000	38.698000	B
38.864000	38.864000	B
39.364000	39.364000	B
39.864000	39.864000	B
40.032000	40.032000	B
40.198000	40.198000	B
40.696000	40.696000	B
41.197000	41.197000	B
41.366000	41.366000	B
41.531000	41.531000	B
42.030000	42.030000	B
42.364000	42.364000	B
42.698000	42.698000	B
43.027000	43.027000	B
43.361000	43.361000	B
43.692000	43.692000	B
44.054000	44.054000	B
44.368000	44.368000	B
44.699000	44.699000	B
45.033000	45.033000	B
45.365000	45.365000	B
45.701000	45.701000	B
46.199000	46.199000	B
46.699000	46.699000	B
46.868000	46.868000	B
47.037000	47.037000	B
47.365000	47.365000	B
47.701000	47.701000	B
48.031000	48.031000	B
48.368000	48.368000	B
48.866000	48.866000	B
49.365000	49.365000	B
49.533000	49.533000	B
49.704000	49.704000	B
50.032000	50.032000	B
50.367000	50.367000	B
50.699000	50.699000	B
51.035000	51.035000	B
51.532000	51.532000	B
52.032000	52.032000	B
52.200000	52.200000	B
52.388000	52.388000	B
52.698000	52.698000	B
53.034000	53.034000	B
53.364000	53.364000	B
53.701000	53.701000	B
54.198000	54.198000	B
54.698000	54.698000	B
54.867000	54.867000	B
55.038000	55.038000	B
55.365000	55.365000	B
55.534000	55.534000	B
56.032000	56.032000	B
56.369000	56.369000	B
56.865000	56.865000	B
57.366000	57.366000	B
57.533000	57.533000	B
57.721000	57.721000	B
58.031000	58.031000	B
58.201000	58.201000	B
58.698000	58.698000	B
59.034000	59.034000	B
59.532000	59.532000	B
60.032000	60.032000	B
60.200000	60.200000	B
60.388000	60.388000	B
60.699000	60.699000	B
60.867000	60.867000	B
61.366000	61.366000	B
61.701000	61.701000	B
62.199000	62.199000	B
62.699000	62.699000	B
62.867000	62.867000	B
63.055000	63.055000	B
63.365000	63.365000	B
63.535000	63.535000	B
64.053000	64.053000	B
64.382000	64.382000	B
64.869000	64.869000	B
65.371000	65.371000	B
